locale	concept	prerequisite
arb-Arab-ZZ		
cmn-Hans-CN	第三宇宙速度	逃逸速度
cmn-Latn-CN	dìsān yǔzhòusùdù	táoyì sùdù
dan-Latn-DK		
deu-Latn-DE	dritte kosmische Geschwindigkeit 	Entweichgeschwindigkeit, Fluchtgeschwindigkeit
eng-Latn-US	third cosmic velocity	escape velocity
fin-Latn-FI		
fra-Latn-FR	troisième vitesse cosmique	vitesse de libération
heb-Hebr-IL		
hin-Deva-IN		
ita-Latn-IT		
jpn-Hrkt-JP	だいさんうちゅうそくど	だっしゅつそくど
jpn-Jpan-JP	第三宇宙速度	脱出速度
kor-Hang-KR		
kor-Kore-KR		
nld-Latn-NL		
nob-Latn-NO		
pes-Aran-IR		
por-Latn-PT		
rus-Cyrl-RU	тре́тья косми́ческая ско́рость	втора́я косми́ческая ско́рость
spa-Latn-ES		
swe-Latn-SE		
tur-Latn-TR		
zxx-Zmth-ZZ		
